	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	EXP_REWARD	IS_MAJOR	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE	PRIMARY_LOOT	SECONDARY_LOOT	ONE_TIME_REWARD
1-1	1	1	WHITE	60	1	CITY_ROOFTOPS_1	SOULLESS_SWORD_N	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_N	MR_INCREDIBLE	SUGAR_RUSH,HEARTY_BREAKFAST	ACE_OF_SPADES,CLEVER_FOX	
1-2	1	1	WHITE	62	0	CITY_ROOFTOPS_2	SOULLESS_SWORD_N	SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_MAGE_N	SOULLESS_SWORD_N,VANELLOPE	SUGAR_RUSH,A_BIT_OF_PRESTIDIGITATION	SUNNY_SIDE,HEARTY_BREAKFAST	
1-3	1	1	WHITE	64	0	CITY_ROOFTOPS_3	SOULLESS_SWORD_N,SOULLESS_MAGE_N	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_MAGE_N	CHIEF_BOGO,VANELLOPE	ACE_OF_SPADES,SUNNY_SIDE	HEARTY_BREAKFAST,BADGE_OF_FRIENDSHIP	
1-4	1	1	WHITE	67	1	CITY_ROOFTOPS_4	SOULLESS_SWORD_N,SOULLESS_MAGE_N	SOULLESS_BRUTE	MR_INCREDIBLE,[boss]VANELLOPE	SUGAR_RUSH,BADGE_OF_FRIENDSHIP	ACE_OF_SPADES,SUNNY_SIDE	
1-5	1	1	WHITE	69	0	CITY_ROOFTOPS_5	SOULLESS_BRUTE,SOULLESS_MAGE_N	SOULLESS_BRUTE,SOULLESS_SWORD_N	[boss]MR_INCREDIBLE,ELASTIGIRL	SUGAR_RUSH,A_BIT_OF_PRESTIDIGITATION	CLEVER_FOX,HEARTY_BREAKFAST	
1-6	1	1	WHITE	71	0	CITY_ROOFTOPS_6	SOULLESS_BRUTE,SOULLESS_MAGE_N	SOULLESS_BRUTE,SOULLESS_SWORD_N,SOULLESS_MAGE_N	[boss]MR_INCREDIBLE,CHIEF_BOGO,SOULLESS_MAGE_N	SUGAR_RUSH,CLEVER_FOX	A_BIT_OF_PRESTIDIGITATION,ACE_OF_SPADES	
1-7	1	1	WHITE	73	1	CITY_ROOFTOPS_7	SOULLESS_SWORD_N	SOULLESS_SWORD_N,SOULLESS_MAGE_N	SOULLESS_BRUTE,[boss]DASH	SUGAR_RUSH,A_BIT_OF_PRESTIDIGITATION	CLEVER_FOX,ACE_OF_SPADES	10 STONE_VANELLOPE
1-8	1	1	WHITE	75	0	CITY_ROOFTOPS_8	SOULLESS_SWORD_N,SOULLESS_MAGE_F	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_F	[boss]CHIEF_BOGO,DASH	SUGAR_RUSH,BELLA_NOTTE	NUMBER_ONE_DIME,A_BIT_OF_PRESTIDIGITATION	
1-9	1	1	WHITE	78	0	CITY_ROOFTOPS_9	SOULLESS_SWORD_N,SOULLESS_MAGE_F	SOULLESS_SWORD_N,SOULLESS_MAGE_F,SOULLESS_MAGE_F	[boss]CHIEF_BOGO,FROZONE	SUGAR_RUSH,NUMBER_ONE_DIME	BELLA_NOTTE,CLEVER_FOX	
1-10	2	1	WHITE	80	1	CITY_ROOFTOPS_12	SOULLESS_BRUTE,SOULLESS_SWORD_N	SOULLESS_BRUTE,SOULLESS_BRUTE	CHIEF_BOGO,VANELLOPE,SOULLESS_MAGE_N	SUGAR_RUSH,SUNNY_SIDE	HEARTY_BREAKFAST,NUMBER_ONE_DIME	
1-11	2	1	WHITE	82	0	CITY_ROOFTOPS_13	SOULLESS_BRUTE,SOULLESS_MAGE_F	SOULLESS_BRUTE,SOULLESS_SWORD_F,SOULLESS_SWORD_F	[boss]MR_INCREDIBLE,VANELLOPE,DASH	SUGAR_RUSH,CLEVER_FOX	BADGE_OF_FRIENDSHIP,BELLA_NOTTE	
1-12	2	1	WHITE	84	0	CITY_ROOFTOPS_12	SOULLESS_BRUTE,SOULLESS_MAGE_F,SOULLESS_MAGE_F	SOULLESS_BRUTE,SOULLESS_SWORD_F,SOULLESS_MAGE_F,SOULLESS_MAGE_F	[boss]CHIEF_BOGO,DASH,SOULLESS_MAGE_F,SOULLESS_MAGE_F	SUGAR_RUSH,NUMBER_ONE_DIME	ACE_OF_SPADES,PAPER_AIRPLANE	
1-13	3	1	WHITE	86	1	CITY_ROOFTOPS_13	SOULLESS_SWORD_F,SOULLESS_SWORD_F	SOULLESS_SWORD_F,SOULLESS_MAGE_F	CHIEF_BOGO,[boss]DASH	ACE_OF_SPADES,CLEVER_FOX	HEARTY_BREAKFAST,BADGE_OF_FRIENDSHIP	1 HERO_YAX
1-14	3	1	WHITE	89	0	CITY_ROOFTOPS_14	SOULLESS_SWORD_F,SOULLESS_MAGE_F	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_F	[boss]CHIEF_BOGO,VANELLOPE,JUDY_HOPPS	SUGAR_RUSH,CLEVER_FOX	SUNNY_SIDE,ACE_OF_SPADES	
